v-sweep,v(vout),i(vout),v(v1),v(v2)
0.138,1,-0.000000473435328,0.138,0.5
0.139,1,-0.000000473434106,0.139,0.5
0.14,1,-0.000000473432799,0.14,0.5
0.141,1,-0.000000473431477,0.141,0.5
0.142,1,-0.000000473430127,0.142,0.5
0.143,1,-0.00000047342877,0.143,0.5
0.144,1,-0.000000473427363,0.144,0.5
0.145,1,-0.000000473425885,0.145,0.5
0.146,1,-0.000000473424436,0.146,0.5
0.147,1,-0.000000473422823,0.147,0.5
0.148,1,-0.000000473421274,0.148,0.5
0.149,1,-0.000000473419661,0.149,0.5
0.15,1,-0.000000473418019,0.15,0.5
0.151,1,-0.000000473416286,0.151,0.5
0.152,1,-0.000000473414516,0.152,0.5
0.153,1,-0.000000473412662,0.153,0.5
0.154,1,-0.000000473410829,0.154,0.5
0.155,1,-0.000000473408903,0.155,0.5
0.156,1,-0.000000473406985,0.156,0.5
0.157,1,-0.000000473404931,0.157,0.5
0.158,1,-0.000000473402885,0.158,0.5
0.159,1,-0.000000473400796,0.159,0.5
0.16,1,-0.000000473398593,0.16,0.5
0.161,1,-0.000000473396348,0.161,0.5
0.162,1,-0.000000473394024,0.162,0.5
0.163,1,-0.000000473391651,0.163,0.5
0.164,1,-0.000000473389264,0.164,0.5
0.165,1,-0.000000473386763,0.165,0.5
0.166,1,-0.000000473384176,0.166,0.5
0.167,1,-0.000000473381505,0.167,0.5
0.168,1,-0.000000473378812,0.168,0.5
0.169,1,-0.000000473376069,0.169,0.5
0.17,1,-0.000000473373198,0.17,0.5
0.171,1,-0.000000473370271,0.171,0.5
0.172,1,-0.000000473367216,0.172,0.5
0.173,1,-0.000000473364146,0.173,0.5
0.174,1,-0.000000473360977,0.174,0.5
0.175,1,-0.000000473357701,0.175,0.5
0.176,1,-0.000000473354334,0.176,0.5
0.177,1,-0.000000473350866,0.177,0.5
0.178,1,-0.000000473347356,0.178,0.5
0.179,1,-0.000000473343725,0.179,0.5
0.18,1,-0.000000473340002,0.18,0.5
0.181,1,-0.000000473336144,0.181,0.5
0.182,1,-0.000000473332221,0.182,0.5
0.183,1,-0.000000473328157,0.183,0.5
0.184,1,-0.000000473324,0.184,0.5
0.185,1,-0.000000473319737,0.185,0.5
0.186,1,-0.000000473315353,0.186,0.5
0.187,1,-0.000000473310813,0.187,0.5
0.188,1,-0.000000473306216,0.188,0.5
0.189,1,-0.000000473301419,0.189,0.5
0.19,1,-0.000000473296566,0.19,0.5
0.191,1,-0.000000473291536,0.191,0.5
0.192,1,-0.000000473286399,0.192,0.5
0.193,1,-0.000000473281084,0.193,0.5
0.194,1,-0.000000473275676,0.194,0.5
0.195,1,-0.00000047327007,0.195,0.5
0.196,1,-0.000000473264301,0.196,0.5
0.197,1,-0.000000473258453,0.197,0.5
0.198,1,-0.000000473252385,0.198,0.5
0.199,1,-0.000000473246125,0.199,0.5
0.2,1,-0.000000473239744,0.2,0.5
0.201,1,-0.000000473233186,0.201,0.5
0.202,1,-0.000000473226486,0.202,0.5
0.203,1,-0.000000473219551,0.203,0.5
0.204,1,-0.00000047321241,0.204,0.5
0.205,1,-0.000000473205084,0.205,0.5
0.206,1,-0.000000473197638,0.206,0.5
0.207,1,-0.000000473189914,0.207,0.5
0.208,1,-0.000000473181963,0.208,0.5
0.209,1,-0.000000473173841,0.209,0.5
0.21,1,-0.000000473165528,0.21,0.5
0.211,1,-0.000000473156931,0.211,0.5
0.212,1,-0.000000473148113,0.212,0.5
0.213,1,-0.000000473138996,0.213,0.5
0.214,1,-0.000000473129738,0.214,0.5
0.215,1,-0.000000473120195,0.215,0.5
0.216,1,-0.000000473110433,0.216,0.5
0.217,1,-0.000000473100314,0.217,0.5
0.218,1,-0.00000047308999,0.218,0.5
0.219,1,-0.000000473079339,0.219,0.5
0.22,1,-0.000000473068425,0.22,0.5
0.221,1,-0.00000047305722,0.221,0.5
0.222,1,-0.000000473045667,0.222,0.5
0.223,1,-0.000000473033822,0.223,0.5
0.224,1,-0.000000473021693,0.224,0.5
0.225,1,-0.000000473009194,0.225,0.5
0.226,1,-0.000000472996383,0.226,0.5
0.227,1,-0.000000472983203,0.227,0.5
0.228,1,-0.000000472969688,0.228,0.5
0.229,1,-0.000000472955819,0.229,0.5
0.23,1,-0.000000472941508,0.23,0.5
0.231,1,-0.000000472926864,0.231,0.5
0.232,1,-0.00000047291185,0.232,0.5
0.233,1,-0.000000472896389,0.233,0.5
0.234,1,-0.000000472880458,0.234,0.5
0.235,1,-0.000000472864144,0.235,0.5
0.236,1,-0.000000472847354,0.236,0.5
0.237,1,-0.00000047283018,0.237,0.5
0.238,1,-0.000000472812516,0.238,0.5
0.239,1,-0.000000472794319,0.239,0.5
0.24,1,-0.000000472775689,0.24,0.5
0.241,1,-0.000000472756568,0.241,0.5
0.242,1,-0.000000472736907,0.242,0.5
0.243,1,-0.000000472716664,0.243,0.5
0.244,1,-0.00000047269593,0.244,0.5
0.245,1,-0.000000472674593,0.245,0.5
0.246,1,-0.000000472652701,0.246,0.5
0.247,1,-0.000000472630262,0.247,0.5
0.248,1,-0.000000472607148,0.248,0.5
0.249,1,-0.000000472583451,0.249,0.5
0.25,1,-0.00000047255908,0.25,0.5
0.251,1,-0.000000472534026,0.251,0.5
0.252,1,-0.00000047250839,0.252,0.5
0.253,1,-0.000000472481993,0.253,0.5
0.254,1,-0.000000472454872,0.254,0.5
0.255,1,-0.000000472427011,0.255,0.5
0.256,1,-0.000000472398426,0.256,0.5
0.257,1,-0.000000472369067,0.257,0.5
0.258,1,-0.000000472338932,0.258,0.5
0.259,1,-0.000000472307924,0.259,0.5
0.26,1,-0.000000472276135,0.26,0.5
0.261,1,-0.000000472243435,0.261,0.5
0.262,1,-0.000000472209919,0.262,0.5
0.263,1,-0.000000472175437,0.263,0.5
0.264,1,-0.000000472140073,0.264,0.5
0.265,1,-0.00000047210375,0.265,0.5
0.266,1,-0.000000472066397,0.266,0.5
0.267,1,-0.000000472028034,0.267,0.5
0.268,1,-0.000000471988706,0.268,0.5
0.269,1,-0.000000471948304,0.269,0.5
0.27,1,-0.000000471906823,0.27,0.5
0.271,1,-0.000000471864126,0.271,0.5
0.272,1,-0.000000471820378,0.272,0.5
0.273,1,-0.000000471775344,0.273,0.5
0.274,1,-0.00000047172923,0.274,0.5
0.275,1,-0.000000471681737,0.275,0.5
0.276,1,-0.000000471633072,0.276,0.5
0.277,1,-0.000000471583029,0.277,0.5
0.278,1,-0.00000047153172,0.278,0.5
0.279,1,-0.000000471478941,0.279,0.5
0.28,1,-0.000000471424762,0.28,0.5
0.281,1,-0.000000471369155,0.281,0.5
0.282,1,-0.000000471311999,0.282,0.5
0.283,1,-0.000000471253358,0.283,0.5
0.284,1,-0.000000471193125,0.284,0.5
0.285,1,-0.000000471131287,0.285,0.5
0.286,1,-0.000000471067736,0.286,0.5
0.287,1,-0.000000471002487,0.287,0.5
0.288,1,-0.000000470935483,0.288,0.5
0.289,1,-0.000000470866716,0.289,0.5
0.29,1,-0.000000470796074,0.29,0.5
0.291,1,-0.000000470723592,0.291,0.5
0.292,1,-0.000000470649063,0.292,0.5
0.293,1,-0.000000470572601,0.293,0.5
0.294,1,-0.000000470494079,0.294,0.5
0.295,1,-0.000000470413433,0.295,0.5
0.296,1,-0.000000470330647,0.296,0.5
0.297,1,-0.000000470245681,0.297,0.5
0.298,1,-0.000000470158312,0.298,0.5
0.299,1,-0.000000470068663,0.299,0.5
0.3,1,-0.000000469976634,0.3,0.5
0.301,1,-0.000000469882124,0.301,0.5
0.302,1,-0.000000469785078,0.302,0.5
0.303,1,-0.000000469685453,0.303,0.5
0.304,1,-0.000000469583149,0.304,0.5
0.305,1,-0.000000469478124,0.305,0.5
0.306,1,-0.000000469370228,0.306,0.5
0.307,1,-0.000000469259518,0.307,0.5
0.308,1,-0.000000469145789,0.308,0.5
